x,Curve1
1.45988,2.7425
1.52847,4.5099
1.53619,2.6513
1.65396,3.1443
1.66243,2.5607
1.6634,4.2197
1.72457,3.3449
1.77769,3.791
1.77978,2.3395
1.89813,3.8233
1.90073,3.2396
1.96753,1.9578
2.01862,3.94
2.0267,2.7035
2.08481,1.6213
2.14973,2.1444
2.20338,3.4815
2.205,1.2388
2.27573,1.6391
2.30757,0.8484
2.38191,2.3931
2.38705,1.1489
2.43659,0.4813
2.53382,1.0125
2.56302,0.7287
