x,Curve1
1.41718,3.4124
1.50135,5.0095
1.65312,4.6698
1.65828,3.1676
1.87758,3.9388
1.89295,2.5321
2.14503,1.7141
2.16455,2.6951
2.3903,0.8353
2.39642,1.4952
2.39884,2.3895
