x,Curve1
0.07276,0.4432
0.14014,2.0227
0.14323,1.0682
0.20832,2.8409
0.21172,1.5909
0.2802,2.125
0.34511,4.0682
0.35505,2.5682
0.41989,4.5795
0.49059,4.9886
0.49674,3.1136
0.55718,5.3295
0.56553,3.3523
0.63021,5.5114
0.6387,3.3977
