x,Curve1
0.13641,1.0409
0.14911,1.6117
0.27677,1.9864
0.27993,3.1205
0.42041,4.1872
0.42507,2.793
0.56041,4.7777
0.5609,3.2626
0.70599,4.8918
0.70851,3.3852
