x,Curve1
0.78055,3.35
0.84534,4.8802
0.86489,3.2772
0.94122,3.257
0.99184,4.4394
1.06776,3.2174
1.14031,3.9027
1.20843,3.3603
1.2692,4.882
1.31494,3.4957
1.38977,5.0082
