x,Curve1
0.78061,7.1327
0.79861,5.0996
0.88772,6.8664
0.89994,4.9807
0.94781,5.5891
0.97917,4.9798
1.00073,6.3938
1.05858,4.8906
1.13163,6.5004
1.14045,4.929
1.14153,5.7048
1.20608,4.8988
1.20759,5.4684
1.21832,6.8432
1.255,5.0161
1.30651,5.2022
1.34786,5.025
1.38418,7.2048
1.40782,5.0931
