x,Curve1
1.5386,6.3643
1.53913,4.5757
1.64217,6.2749
1.64776,4.4118
1.66021,5.0229
1.72556,6.0811
1.7736,5.8724
1.78383,5.4402
1.78678,3.9945
1.90259,5.1719
1.90308,3.5175
1.90488,5.9768
2.02699,2.9213
2.03114,5.9768
2.03159,4.4416
2.13537,3.6218
2.13834,2.1016
2.13984,5.5893
2.2294,1.6097
2.26637,4.6801
2.26949,2.653
2.34064,1.1626
2.38798,3.3386
2.38842,1.8482
2.44175,0.8049
2.51217,1.8035
2.51748,0.9092
2.54034,0.4471
